Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
407;22863;"Political Quarterly";journal;"1467923X, 00323179";"Wiley-Blackwell Publishing Ltd";No;No;0,577;Q2;57;113;237;2077;443;196;1,46;18,38;25,00;0;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1930-2026";"Sociology and Political Science (Q2)";"Social Sciences"
408;5700155017;"Nordicom Review";journal;"14031108, 20015119";"Sciendo";Yes;Yes;0,574;Q2;29;20;50;1926;144;50;2,57;96,30;50,00;0;Sweden;Western Europe;"Sciendo";"2000-2026";"Cultural Studies (Q1); Communication (Q2); Sociology and Political Science (Q2)";"Social Sciences"
409;21100940340;"Forest and Society";journal;"25494333, 25494724";"Hasanuddin University";Yes;No;0,571;Q2;25;33;87;2291;266;87;3,10;69,42;36,45;1;Indonesia;Asiatic Region;"Hasanuddin University";"2017-2025";"Cultural Studies (Q1); Forestry (Q1); Geography, Planning and Development (Q2); Nature and Landscape Conservation (Q2); Plant Science (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Agricultural and Biological Sciences; Environmental Science; Social Sciences"
410;21101039693;"Journal of Population Ageing";journal;"18747876, 18747884";"Springer Science and Business Media B.V.";No;No;0,570;Q2;22;65;145;3782;322;136;1,93;58,18;55,49;1;Netherlands;Western Europe;"Springer Science and Business Media B.V.";"2013-2016, 2018-2026";"Demography (Q2); Geography, Planning and Development (Q2); Sociology and Political Science (Q2)";"Social Sciences"
411;21100886532;"Economic and Political Studies";journal;"24704024, 20954816";"Routledge";No;No;0,569;Q2;22;23;81;1091;240;75;2,88;47,43;40,74;1;United Kingdom;Western Europe;"Routledge";"2013-2026";"Economics and Econometrics (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Economics, Econometrics and Finance; Social Sciences"
412;145582;"Educational Research for Policy and Practice";journal;"15731723, 15702081";"Springer";No;No;0,567;Q2;32;34;78;1842;201;74;2,65;54,18;44,44;0;Singapore;Asiatic Region;"Springer";"2004-2026";"Education (Q2); Sociology and Political Science (Q2)";"Social Sciences"
413;16865;"Acta Sociologica";journal;"00016993, 15023869";"SAGE Publications Ltd";Yes;No;0,566;Q2;69;61;84;3447;215;80;2,39;56,51;39,09;2;United Kingdom;Western Europe;"SAGE Publications Ltd";"1956-1959, 1962, 1964-2026";"Sociology and Political Science (Q2)";"Social Sciences"
414;5800170866;"Irish Political Studies";journal;"07907184, 17439078";"Routledge";No;No;0,566;Q2;31;30;67;1537;101;61;0,72;51,23;50,00;1;United Kingdom;Western Europe;"Routledge";"1986-2025";"Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Social Sciences"
415;5800169167;"Journal of East Asian Studies";journal;"22346643, 15982408";"Cambridge University Press";Yes;No;0,563;Q2;34;17;63;1236;140;63;2,18;72,71;32,26;0;United Kingdom;Western Europe;"Cambridge University Press";"2002, 2008-2026";"Development (Q2); Economics and Econometrics (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Economics, Econometrics and Finance; Social Sciences"
416;21100780471;"Asian Studies";journal;"22325131, 23504226";"University of Ljubljana Press";Yes;Yes;0,562;Q2;12;53;126;1761;96;116;0,79;33,23;51,28;0;Slovenia;Eastern Europe;"University of Ljubljana Press";"2013-2026";"Cultural Studies (Q1); History (Q1); Literature and Literary Theory (Q1); Philosophy (Q1); Sociology and Political Science (Q2)";"Arts and Humanities; Social Sciences"
417;19700187619;"International Journal of Strategic Communication";journal;"1553118X, 15531198";"Routledge";No;No;0,562;Q2;44;59;95;4662;301;94;3,09;79,02;58,14;0;United States;Northern America;"Routledge";"2009-2026";"Communication (Q2); Sociology and Political Science (Q2)";"Social Sciences"
418;19700188900;"Social Psychology";journal;"18649335, 21512590";"Hogrefe Publishing GmbH";No;No;0,560;Q2;56;17;94;934;144;92;1,22;54,94;55,36;1;Germany;Western Europe;"Hogrefe Publishing GmbH";"2006, 2008-2026";"Arts and Humanities (miscellaneous) (Q1); Psychology (miscellaneous) (Q2); Social Psychology (Q2); Sociology and Political Science (Q2)";"Arts and Humanities; Psychology; Social Sciences"
419;5700164101;"French Politics";journal;"14763427, 14763419";"Palgrave Macmillan Ltd.";No;No;0,558;Q2;20;32;92;1954;110;65;1,02;61,06;38,64;0;United Kingdom;Western Europe;"Palgrave Macmillan Ltd.";"2005, 2009-2026";"Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Social Sciences"
420;5600156543;"Netherlands Quarterly of Human Rights";journal;"01693441";"Stichting Studie- en Informatiecentrum Mensenrechten";Yes;No;0,558;Q2;29;14;57;1186;92;48;1,38;84,71;71,43;0;Netherlands;Western Europe;"Stichting Studie- en Informatiecentrum Mensenrechten";"1999, 2006-2025";"Law (Q1); Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Social Sciences"
421;17575;"Law and Policy";journal;"02658240, 14679930";"Wiley-Blackwell Publishing Ltd";No;No;0,555;Q2;58;17;58;1613;138;58;2,08;94,88;51,52;1;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1979-2026";"Law (Q1); Sociology and Political Science (Q2)";"Social Sciences"
422;21100827893;"Sustainable Development of Mountain Territories";journal;"19984502, 2499975X";"North Caucasian Institute of Mining and Metallurgy, State Technological University";Yes;No;0,554;Q2;22;144;320;4037;647;319;2,28;28,03;43,89;0;Russian Federation;Eastern Europe;"North Caucasian Institute of Mining and Metallurgy, State Technological University";"2011-2025";"Earth and Planetary Sciences (miscellaneous) (Q2); Geography, Planning and Development (Q2); Management, Monitoring, Policy and Law (Q2); Mechanical Engineering (Q2); Sociology and Political Science (Q2); Renewable Energy, Sustainability and the Environment (Q3)";"Earth and Planetary Sciences; Energy; Engineering; Environmental Science; Social Sciences"
423;21100897232;"REICE. Revista Iberoamericana Sobre Calidad, Eficacia y Cambio en Educacion";journal;"16964713";"Universidad Autonoma de Madrid";Yes;Yes;0,549;Q2;31;15;92;698;195;89;2,25;46,53;43,59;0;Spain;Western Europe;"Universidad Autonoma de Madrid";"2003-2026";"Cultural Studies (Q1); Education (Q2); Sociology and Political Science (Q2)";"Social Sciences"
424;5600155308;"Canadian Slavonic Papers";journal;"23752475, 00085006";"Taylor and Francis Ltd.";No;No;0,546;Q2;19;22;81;1151;127;69;1,39;52,32;57,89;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1974, 1977-1979, 1985, 1988, 1991, 1996-2025";"Cultural Studies (Q1); History (Q1); Linguistics and Language (Q1); Literature and Literary Theory (Q1); Philosophy (Q1); Visual Arts and Performing Arts (Q1); Sociology and Political Science (Q2)";"Arts and Humanities; Social Sciences"
425;5700162125;"Action Research";journal;"17412617, 14767503";"SAGE Publications Ltd";No;No;0,545;Q2;55;39;75;1612;180;64;2,18;41,33;75,47;1;United Kingdom;Western Europe;"SAGE Publications Ltd";"2003-2026";"Organizational Behavior and Human Resource Management (Q2); Sociology and Political Science (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Social Sciences"
426;21100897170;"Power and Education";journal;"17577438";"SAGE Publications Ltd";Yes;No;0,544;Q2;26;49;71;2769;196;70;2,84;56,51;55,70;0;United Kingdom;Western Europe;"SAGE Publications Ltd";"2009-2026";"Education (Q2); Sociology and Political Science (Q2)";"Social Sciences"
427;130127;"Human Rights Law Review";journal;"14617781, 17441021";"Oxford University Press";No;No;0,543;Q2;50;16;110;2824;237;110;1,52;176,50;52,63;1;United Kingdom;Western Europe;"Oxford University Press";"2004-2026";"Law (Q1); Sociology and Political Science (Q2)";"Social Sciences"
428;15525;"International Review of Sociology";journal;"03906701, 14699273";"Routledge";No;No;0,541;Q2;39;44;86;3457;187;83;2,25;78,57;49,23;0;United Kingdom;Western Europe;"Routledge";"1987-1994, 2003-2026";"Sociology and Political Science (Q2)";"Social Sciences"
429;21100887440;"Educational Studies - AESA";journal;"00131946, 15326993";"Taylor and Francis Ltd.";No;No;0,540;Q2;20;37;106;2143;199;103;1,54;57,92;55,17;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2008, 2010, 2018-2026";"Education (Q2); Sociology and Political Science (Q2)";"Social Sciences"
430;5700166187;"Du Bois Review";journal;"1742058X, 17420598";"Cambridge University Press";No;No;0,539;Q2;51;20;54;1825;106;54;2,03;91,25;42,86;0;United Kingdom;Western Europe;"Cambridge University Press";"2004-2025";"Anthropology (Q1); Cultural Studies (Q1); Sociology and Political Science (Q2)";"Social Sciences"
431;15619;"Journal of Contemporary Ethnography";journal;"08912416, 15525414";"SAGE Publications Inc.";No;No;0,539;Q2;72;35;97;2205;200;96;1,52;63,00;57,89;0;United States;Northern America;"SAGE Publications Inc.";"1972-1982, 1984-2026";"Anthropology (Q1); Linguistics and Language (Q1); Sociology and Political Science (Q2); Urban Studies (Q2)";"Social Sciences"
432;21100416483;"Families, Relationships and Societies";journal;"20467435, 20467443";"The Policy Press";No;No;0,538;Q2;28;37;115;1633;197;112;1,74;44,14;78,13;0;United Kingdom;Western Europe;"The Policy Press";"2012-2025";"Sociology and Political Science (Q2)";"Social Sciences"
433;21101039079;"Central European Management Journal";journal;"26580845, 26582430";"Emerald Publishing";Yes;Yes;0,536;Q2;18;66;90;4783;345;90;4,69;72,47;52,74;0;Poland;Eastern Europe;"Emerald Publishing";"2020-2026";"Business, Management and Accounting (miscellaneous) (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2); Social Psychology (Q3)";"Business, Management and Accounting; Psychology; Social Sciences"
434;26437;"Social Science Journal";journal;"03623319";"Taylor and Francis Ltd.";No;No;0,536;Q2;55;96;180;5548;443;178;2,48;57,79;52,19;4;United States;Northern America;"Taylor and Francis Ltd.";"1978, 1980, 1982-2026";"Sociology and Political Science (Q2); Social Psychology (Q3)";"Psychology; Social Sciences"
435;21101185683;"Journal of Race Ethnicity and the City";journal;"26884674, 26884682";"Routledge";No;No;0,535;Q2;10;15;29;1154;52;25;1,56;76,93;59,09;0;United States;Northern America;"Routledge";"2020-2026";"Anthropology (Q1); Geography, Planning and Development (Q2); Political Science and International Relations (Q2); Public Administration (Q2); Sociology and Political Science (Q2); Urban Studies (Q2)";"Social Sciences"
436;21100805792;"Studies in Indian Politics";journal;"23210230, 23217472";"SAGE Publications Inc.";No;No;0,534;Q2;15;22;76;1028;94;59;0,71;46,73;39,13;1;United Kingdom;Western Europe;"SAGE Publications Inc.";"2014-2025";"Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Social Sciences"
437;5600152909;"Capital and Class";journal;"03098168, 20410980";"SAGE Publications Ltd";No;No;0,529;Q2;47;54;88;3186;170;85;1,95;59,00;34,83;4;United Kingdom;Western Europe;"SAGE Publications Ltd";"1977-2026";"History (Q1); Economics and Econometrics (Q2); Sociology and Political Science (Q2)";"Arts and Humanities; Economics, Econometrics and Finance; Social Sciences"
438;15498;"International Journal of Sociology and Social Policy";journal;"0144333X, 17586720";"Emerald Group Publishing Ltd.";No;No;0,527;Q2;59;150;248;9416;698;245;2,54;62,77;42,57;0;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1981-2026";"Economics, Econometrics and Finance (miscellaneous) (Q2); Sociology and Political Science (Q2)";"Economics, Econometrics and Finance; Social Sciences"
439;5600155212;"Analyse und Kritik";journal;"01715860, 23659858";"De Gruyter Oldenbourg";Yes;No;0,526;Q2;19;21;60;895;69;57;0,67;42,62;19,05;0;Germany;Western Europe;"De Gruyter Oldenbourg";"2004-2005, 2007, 2011-2025";"Philosophy (Q1); Sociology and Political Science (Q2)";"Arts and Humanities; Social Sciences"
440;21101186201;"Quaderni dell'Osservatorio Elettorale";journal;"27244679, 03926753";"Firenze University Press";Yes;Yes;0,526;Q2;7;15;24;694;42;22;1,80;46,27;32,35;0;Italy;Western Europe;"Firenze University Press";"2019-2025";"Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Social Sciences"
441;5600153131;"Social Analysis";journal;"15585727, 0155977X";"Berghahn Journals";Yes;Yes;0,526;Q2;39;12;76;544;51;75;0,58;45,33;45,45;0;United Kingdom;Western Europe;"Berghahn Journals";"2002-2025";"Anthropology (Q1); Arts and Humanities (miscellaneous) (Q1); Cultural Studies (Q1); Sociology and Political Science (Q2)";"Arts and Humanities; Social Sciences"
442;14600154704;"Pacific Focus";journal;"12254657, 19765118";"Wiley-Blackwell";No;No;0,525;Q2;18;22;60;1365;68;59;1,25;62,05;34,62;0;United States;Northern America;"Wiley-Blackwell";"1986-2026";"Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Social Sciences"
443;5700166959;"Human Rights Review";journal;"15248879, 18746306";"Springer Science and Business Media B.V.";No;No;0,524;Q2;32;11;69;822;142;68;1,81;74,73;42,11;0;Netherlands;Western Europe;"Springer Science and Business Media B.V.";"2000-2026";"Law (Q1); Sociology and Political Science (Q2)";"Social Sciences"
444;23108;"Language and Speech";journal;"00238309, 17566053";"SAGE Publications Inc.";No;No;0,521;Q2;67;74;132;5119;200;132;1,34;69,18;55,05;0;United Kingdom;Western Europe;"SAGE Publications Inc.";"1958-2026";"Linguistics and Language (Q1); Sociology and Political Science (Q2); Speech and Hearing (Q2); Medicine (miscellaneous) (Q3)";"Health Professions; Medicine; Social Sciences"
445;5100154603;"Opiniao Publica";journal;"01046276, 18070191";"Universidade Estadual de Campinas UNICAMP";Yes;Yes;0,520;Q2;25;19;78;1118;82;78;0,90;58,84;54,05;0;Brazil;Latin America;"Universidade Estadual de Campinas UNICAMP";"2006-2026";"Sociology and Political Science (Q2)";"Social Sciences"
446;21100898700;"Journal of Human Trafficking";journal;"23322705, 23322713";"Taylor and Francis Ltd.";No;No;0,519;Q2;28;84;176;4602;376;161;2,09;54,79;71,05;5;United States;Northern America;"Taylor and Francis Ltd.";"2015-2026";"Anthropology (Q1); Law (Q1); Demography (Q2); Sociology and Political Science (Q2); Transportation (Q2)";"Social Sciences"
447;16064;"East European Politics and Societies";journal;"15338371, 08883254";"SAGE Publications Inc.";No;No;0,518;Q2;54;65;186;4285;288;180;1,27;65,92;53,54;0;United States;Northern America;"SAGE Publications Inc.";"1986-2026";"Sociology and Political Science (Q2)";"Social Sciences"
448;4700152785;"Journal of Intergenerational Relationships";journal;"15350770, 15350932";"Routledge";No;No;0,516;Q2;36;61;101;2579;226;101;1,92;42,28;75,81;2;United States;Northern America;"Routledge";"2003-2026";"Archeology (Q1); Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2); Geriatrics and Gerontology (Q3); Life-span and Life-course Studies (Q3); Social Psychology (Q3)";"Medicine; Psychology; Social Sciences"
449;110220;"Human Ecology";journal;"15729915, 03007839";"Springer";No;No;0,515;Q2;90;88;252;5944;526;248;2,04;67,55;41,16;0;United States;Northern America;"Springer";"1972-2026";"Anthropology (Q1); Arts and Humanities (miscellaneous) (Q1); Ecology (Q2); Environmental Science (miscellaneous) (Q2); Health (social science) (Q2); Public Health, Environmental and Occupational Health (Q2); Sociology and Political Science (Q2); Health, Toxicology and Mutagenesis (Q3)";"Arts and Humanities; Environmental Science; Medicine; Social Sciences"
450;26619;"Symbolic Interaction";journal;"15338665, 01956086";"Wiley-Blackwell";No;No;0,515;Q2;65;52;74;3303;152;71;2,00;63,52;51,81;0;United States;Northern America;"Wiley-Blackwell";"1977-2026";"Communication (Q2); Education (Q2); Nursing (miscellaneous) (Q2); Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2); Social Psychology (Q3)";"Nursing; Psychology; Social Sciences"
451;19700173011;"Modern Intellectual History";journal;"14792451, 14792443";"Cambridge University Press";No;No;0,513;Q2;32;48;168;6669;166;168;0,93;138,94;19,61;0;United Kingdom;Western Europe;"Cambridge University Press";"2004-2026";"Cultural Studies (Q1); History (Q1); Philosophy (Q1); Sociology and Political Science (Q2)";"Arts and Humanities; Social Sciences"
452;24606;"Anthrozoos";journal;"08927936, 17530377";"Routledge";No;No;0,512;Q2;78;64;173;3928;482;173;2,55;61,38;73,81;0;United Kingdom;Western Europe;"Routledge";"1990, 1992-1993, 1996-2026";"Anthropology (Q1); Animal Science and Zoology (Q2); Education (Q2); Sociology and Political Science (Q2); Veterinary (miscellaneous) (Q2)";"Agricultural and Biological Sciences; Social Sciences; Veterinary"
453;19900192514;"Dynamics of Asymmetric Conflict: Pathways toward Terrorism and Genocide";journal;"17467594, 17467586";"Routledge";No;No;0,512;Q2;21;19;41;1226;74;36;1,41;64,53;35,00;0;United Kingdom;Western Europe;"Routledge";"2010-2025";"Cultural Studies (Q1); Law (Q1); Political Science and International Relations (Q2); Sociology and Political Science (Q2); Social Psychology (Q3)";"Psychology; Social Sciences"
454;21101043799;"Emotions and Society";journal;"26316900, 26316897";"Policy Press";No;No;0,511;Q2;14;18;68;984;139;61;1,67;54,67;80,00;0;United Kingdom;Western Europe;"Policy Press";"2019-2025";"Cultural Studies (Q1); Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2); Social Psychology (Q3)";"Psychology; Social Sciences"
455;21100788265;"Housing and Society";journal;"23760923, 08882746";"Taylor and Francis Ltd.";No;No;0,511;Q2;13;29;52;1491;102;43;1,74;51,41;68,00;1;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2015-2026";"Geography, Planning and Development (Q2); Sociology and Political Science (Q2); Urban Studies (Q2)";"Social Sciences"
456;21100453516;"Psychology, Society and Education";journal;"1989709X, 21712085";"UCOPress. Editorial Universidad de Cordoba";Yes;Yes;0,510;Q2;17;24;70;1280;137;70;1,74;53,33;38,10;0;Spain;Western Europe;"UCOPress. Editorial Universidad de Cordoba";"2012, 2015-2026";"Clinical Psychology (Q2); Education (Q2); Sociology and Political Science (Q2); Social Psychology (Q3)";"Psychology; Social Sciences"
457;21100200653;"Information Polity";journal;"18758754, 15701255";"SAGE Publications Ltd";No;No;0,509;Q2;50;7;84;341;210;72;2,51;48,71;46,15;0;United Kingdom;Western Europe;"SAGE Publications Ltd";"2002-2025";"Communication (Q2); Geography, Planning and Development (Q2); Information Systems (Q2); Public Administration (Q2); Sociology and Political Science (Q2)";"Computer Science; Social Sciences"
458;12100157009;"Politics and Policy";journal;"17471346, 15555623";"John Wiley and Sons Inc";No;No;0,508;Q2;39;108;184;7911;417;167;2,28;73,25;34,73;4;United States;Northern America;"John Wiley and Sons Inc";"2001-2026";"Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Social Sciences"
459;18000156705;"Soccer and Society";journal;"17439590, 14660970";"Routledge";No;No;0,508;Q2;42;101;238;4852;461;227;1,62;48,04;23,20;1;United Kingdom;Western Europe;"Routledge";"2008-2026";"Cultural Studies (Q1); Sociology and Political Science (Q2); Social Psychology (Q3)";"Psychology; Social Sciences"
460;5700163232;"Contemporary Political Theory";journal;"14708914, 14769336";"Palgrave Macmillan Ltd.";No;No;0,507;Q2;24;31;72;1614;137;64;1,57;52,06;45,07;1;United Kingdom;Western Europe;"Palgrave Macmillan Ltd.";"2009-2026";"Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Social Sciences"
461;29496;"Religion";journal;"10961151, 0048721X";"Taylor and Francis Ltd.";No;No;0,507;Q2;44;47;91;3184;128;78;1,34;67,74;38,60;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1971-2026";"History (Q1); Sociology and Political Science (Q2)";"Arts and Humanities; Social Sciences"
462;21101151590;"Journal of Deliberative Democracy";journal;"26340488";"International Association for Public Participation";Yes;Yes;0,506;Q2;13;12;45;790;96;45;2,50;65,83;39,13;1;United States;Northern America;"International Association for Public Participation";"2013, 2015, 2020-2025";"Sociology and Political Science (Q2)";"Social Sciences"
463;26579;"European Review of Latin American and Caribbean Studies";journal;"18794750, 09240608";"Centre for Latin American Research and Documentation/Centro de Estudios y Documentacion Latinoamericanos (CEDLA)";Yes;Yes;0,501;Q2;23;13;43;532;61;43;0,80;40,92;45,00;0;Netherlands;Western Europe;"Centre for Latin American Research and Documentation/Centro de Estudios y Documentacion Latinoamericanos (CEDLA)";"1996, 2001, 2012-2025";"History (Q1); Sociology and Political Science (Q2)";"Arts and Humanities; Social Sciences"
464;21101091648;"Finance and Society";journal;"20595999";"Cambridge University Press";Yes;No;0,501;Q2;10;31;60;2517;113;57;1,90;81,19;35,94;2;United Kingdom;Western Europe;"Cambridge University Press";"2019, 2021-2026";"Arts and Humanities (miscellaneous) (Q1); History and Philosophy of Science (Q1); Finance (Q2); Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2)";"Arts and Humanities; Economics, Econometrics and Finance; Social Sciences"
465;12100156090;"British Politics";journal;"1746918X, 17469198";"Palgrave Macmillan Ltd.";No;No;0,500;Q2;37;37;84;2286;152;84;1,82;61,78;32,20;5;United Kingdom;Western Europe;"Palgrave Macmillan Ltd.";"2006-2026";"History (Q1); Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Arts and Humanities; Social Sciences"
466;19700187605;"South Asian Diaspora";journal;"19438184, 19438192";"Routledge";No;No;0,500;Q2;17;37;44;1860;73;43;1,69;50,27;45,65;0;United Kingdom;Western Europe;"Routledge";"2009-2026";"Anthropology (Q1); Cultural Studies (Q1); Sociology and Political Science (Q2)";"Social Sciences"
467;20841;"Health and Human Rights";journal;"10790969, 21504113";"Harvard School of Public Health";Yes;No;0,499;Q2;49;59;119;494;226;85;1,48;8,37;66,98;0;United States;Northern America;"Harvard School of Public Health";"1994-2001, 2003-2004, 2006, 2008-2025";"Health (social science) (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Social Sciences"
468;21100448080;"Interest Groups and Advocacy";journal;"20477414, 20477422";"Palgrave Macmillan Ltd.";Yes;No;0,497;Q2;25;22;73;1280;112;71;1,41;58,18;43,18;1;United Kingdom;Western Europe;"Palgrave Macmillan Ltd.";"2014-2026";"Sociology and Political Science (Q2)";"Social Sciences"
469;5800154205;"International Journal of Comparative and Applied Criminal Justice";journal;"21576475, 01924036";"Routledge";No;No;0,497;Q2;26;38;71;2899;154;66;2,35;76,29;36,17;1;United States;Northern America;"Routledge";"1977-1995, 2009, 2014-2026";"Law (Q1); Sociology and Political Science (Q2); Social Psychology (Q3)";"Psychology; Social Sciences"
470;12600154765;"Japanese Journal of Political Science";journal;"14681099, 14740060";"Cambridge University Press";Yes;No;0,497;Q2;28;18;63;1392;112;63;1,93;77,33;33,33;0;United Kingdom;Western Europe;"Cambridge University Press";"2000-2026";"Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Social Sciences"
471;145137;"Critical Criminology";journal;"15729877, 12058629";"Springer Netherlands";No;No;0,496;Q2;46;57;184;2939;293;171;1,46;51,56;30,56;1;Netherlands;Western Europe;"Springer Netherlands";"1996-1997, 2000-2026";"Law (Q1); Sociology and Political Science (Q2)";"Social Sciences"
472;5700163096;"International Negotiation";journal;"1382340X, 15718069";"Brill Academic Publishers";No;No;0,496;Q2;27;35;49;2300;73;49;1,21;65,71;43,86;2;Netherlands;Western Europe;"Brill Academic Publishers";"1999, 2002, 2007-2026";"Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Social Sciences"
473;15060;"Africa Spectrum";journal;"18686869, 00020397";"SAGE Publications Inc.";Yes;Yes;0,494;Q2;34;33;51;1873;132;49;2,26;56,76;23,21;1;Germany;Western Europe;"SAGE Publications Inc.";"1983-1984, 2006-2026";"Cultural Studies (Q1); Development (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Social Sciences"
474;200147136;"Religion, State and Society";journal;"14653974, 09637494";"Routledge";No;No;0,493;Q2;30;31;112;1548;140;77;1,05;49,94;51,52;0;United Kingdom;Western Europe;"Routledge";"1992-2026";"Religious Studies (Q1); Sociology and Political Science (Q2)";"Arts and Humanities; Social Sciences"
475;19900191410;"Ethics and Social Welfare";journal;"17496535, 17496543";"Routledge";No;No;0,492;Q2;22;32;96;1360;134;84;1,05;42,50;68,92;0;United Kingdom;Western Europe;"Routledge";"2015-2026";"Philosophy (Q1); Sociology and Political Science (Q2)";"Arts and Humanities; Social Sciences"
476;19900191760;"Journal of Peace Education";journal;"17400201, 1740021X";"Routledge";No;No;0,492;Q2;24;28;52;1591;88;48;1,33;56,82;69,05;0;United Kingdom;Western Europe;"Routledge";"2010-2026";"Education (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Social Sciences"
477;19900188955;"PoLAR: Political and Legal Anthropology Review";journal;"10816976, 15552934";"John Wiley and Sons Inc";No;No;0,490;Q2;39;34;76;1693;68;49;0,87;49,79;63,89;0;United States;Northern America;"John Wiley and Sons Inc";"1973-1974, 1977-2026";"Anthropology (Q1); Law (Q1); Sociology and Political Science (Q2)";"Social Sciences"
478;21100889405;"Critical and Radical Social Work";journal;"20498675, 20498608";"Policy Press";No;No;0,486;Q2;15;43;109;2278;142;99;0,89;52,98;70,15;0;United Kingdom;Western Europe;"Policy Press";"2018-2026";"Sociology and Political Science (Q2)";"Social Sciences"
479;16842;"Qualitative Sociology";journal;"01620436, 15737837";"Springer New York";No;No;0,486;Q2;74;37;80;2408;142;78;1,38;65,08;40,00;0;United States;Northern America;"Springer New York";"1978-2026";"Sociology and Political Science (Q2)";"Social Sciences"
480;21100385960;"American Journal of Cultural Sociology";journal;"20497121, 20497113";"Springer International Publishing AG";No;No;0,484;Q2;29;48;78;3980;142;73;1,38;82,92;39,71;0;Switzerland;Western Europe;"Springer International Publishing AG";"2013-2026";"Sociology and Political Science (Q2)";"Social Sciences"
481;21100861082;"Democratic Theory";journal;"23328894, 23328908";"Berghahn Journals";Yes;Yes;0,484;Q2;17;11;45;602;81;43;1,33;54,73;63,64;0;United Kingdom;Western Europe;"Berghahn Journals";"2014-2025";"Philosophy (Q1); Sociology and Political Science (Q2)";"Arts and Humanities; Social Sciences"
482;16931;"American Sociologist";journal;"00031232, 19364784";"Springer";No;No;0,483;Q2;32;48;111;3399;169;104;1,46;70,81;33,33;0;United States;Northern America;"Springer";"1973-1975, 1978-1979, 1981, 1987-1996, 2002, 2004-2026";"Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2)";"Social Sciences"
483;144948;"Journal of Occupational Science";journal;"21581576, 14427591";"Taylor and Francis Ltd.";No;No;0,482;Q2;60;95;164;5317;435;142;2,18;55,97;71,78;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1993-2026";"Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2)";"Social Sciences"
484;23442;"Politics and the Life Sciences";journal;"14715457, 07309384";"Cambridge University Press";No;No;0,481;Q2;26;26;61;1661;112;55;1,35;63,88;40,23;1;United Kingdom;Western Europe;"Cambridge University Press";"1982-1984, 1986-2026";"Public Administration (Q2); Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2)";"Social Sciences"
485;21100874350;"Baltic Region";journal;"23100524, 20798555";"Immanuel Kant Baltic Federal University";Yes;Yes;0,480;Q2;12;21;105;777;122;103;1,16;37,00;48,65;0;Russian Federation;Eastern Europe;"Immanuel Kant Baltic Federal University";"2018-2025";"Cultural Studies (Q1); History (Q1); Economics, Econometrics and Finance (miscellaneous) (Q2); Geography, Planning and Development (Q2); Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2)";"Arts and Humanities; Economics, Econometrics and Finance; Social Sciences"
486;15344;"International History Review";journal;"07075332, 19496540";"Routledge";No;No;0,478;Q2;33;100;188;4700;157;182;0,67;47,00;20,18;0;United Kingdom;Western Europe;"Routledge";"1979-2026";"Cultural Studies (Q1); History (Q1); Sociology and Political Science (Q2)";"Arts and Humanities; Social Sciences"
